fx_date,normalized_currency,source_currency,ecb_quote_currency_per_eur,stored_fx_rate_eur_per_source_currency,source,source_url,rule
2026-08-21,EUR,EUR,1.00000,1.00000000,European Central Bank,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,normalized_price = rechecked_source_price × stored_fx_rate_eur_per_source_currency; no conversion for EUR
2026-08-21,EUR,USD,1.16990,0.85477391,European Central Bank,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,normalized_price = rechecked_source_price × stored_fx_rate_eur_per_source_currency; no conversion for EUR
2026-08-21,EUR,GBP,0.85670,1.16726976,European Central Bank,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,normalized_price = rechecked_source_price × stored_fx_rate_eur_per_source_currency; no conversion for EUR
2026-08-21,EUR,CNY,7.86240,0.12718763,European Central Bank,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,normalized_price = rechecked_source_price × stored_fx_rate_eur_per_source_currency; no conversion for EUR
