record_id,product_family_id,source,display_currency,cleaned_price,price_basis,participant_profile,price_recheck_date,comparison_service_window,rechecked_source_price,rechecked_source_currency,rechecked_price_basis,normalized_currency,normalized_price,fx_rate,fx_rate_date,fx_source,price_qa_status,price_analysis_eligible,recheck_provenance_url,exclusion_or_scope_note
APD02-071,PF-APD02-071,VOICEMAP,USD,19.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,19.99,USD,per_person_date_independent,EUR,17.09,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/power-and-politics-an-amsterdam-audio-tour-with-context,Eligible only within date-independent digital-product price subset.
APD02-072,PF-APD02-072,VOICEMAP,USD,14.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,14.99,USD,per_person_date_independent,EUR,12.81,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/red-lights-trade-and-tolerance-a-tour-of-amsterdam-s-old-centre,Eligible only within date-independent digital-product price subset.
APD02-073,PF-APD02-073,VOICEMAP,USD,9.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,9.99,USD,per_person_date_independent,EUR,8.54,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/the-dutch-invented-that-an-irreverent-amsterdam-tour,Eligible only within date-independent digital-product price subset.
APD02-074,PF-APD02-074,VOICEMAP,USD,8.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,8.99,USD,per_person_date_independent,EUR,7.68,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/vondelpark-old-west-neighbourhood/sites,Eligible only within date-independent digital-product price subset.
APD02-075,PF-APD02-075,VOICEMAP,USD,7.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,7.99,USD,per_person_date_independent,EUR,6.83,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/vibrant-amsterdam-east-a-story-of-urban-revival-beyond-the-canals/sites/timorplein,Eligible only within date-independent digital-product price subset.
APD02-076,PF-APD02-076,VOICEMAP,USD,8.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,8.99,USD,per_person_date_independent,EUR,7.68,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/a-tasty-stroll-around-the-cool-spots-of-the-pijp/sites,Eligible only within date-independent digital-product price subset.
APD02-077,PF-APD02-077,VOICEMAP,USD,9.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,11.99,USD,per_person_date_independent,EUR,10.25,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/red-light-district/sites/nieuwmarkt,Eligible only within date-independent digital-product price subset.
APD02-078,PF-APD02-078,VOICEMAP,USD,9.99,per_person,,2026-08-23,2026-09-15_to_2026-09-21,9.99,USD,per_person_date_independent,EUR,8.54,0.85477391,2026-08-21,European Central Bank euro foreign exchange reference rates; https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,PRICE_COMPARABLE_DATE_INDEPENDENT_VERIFIED,true,https://voicemap.me/tour/amsterdam/family-friendly-amsterdam-a-walking-tour-for-adults-and-kids/sites,Eligible only within date-independent digital-product price subset.
APD02-079,PF-APD02-079,IAMSTERDAM,INCLUDED,,included,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/amsterdam-walking-tour-youre-perfect-introduction-to-the-city,Excluded: non-comparable or non-numeric basis.
APD02-080,PF-APD02-080,IAMSTERDAM,TIP_BASED,,tip_based,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/free-walking-tours-amsterdam,Excluded: non-comparable or non-numeric basis.
APD02-081,PF-APD02-081,IAMSTERDAM,INCLUDED,,included,,2026-08-23,2026-09-15_to_2026-09-21,,,,,,,,,PRICE_EXCLUDED_NONCOMPARABLE_OR_NONNUMERIC_BASIS,false,https://www.iamsterdam.com/en/whats-on/calendar/attractions-and-sights/tours/anne-frank-walk,Excluded: non-comparable or non-numeric basis.
